L	0.3122427	0.5803398	1477010443000000.0000000	0.6000000	0.6000000	5.1999370	0.0000000	0.0000000	0.0069113	
L	1.1738480	0.4810729	1477010443100000.0000000	1.1199840	0.6002246	5.1994290	0.0053900	0.0010366	0.0207296	
L	1.6506260	0.6246904	1477010443200000.0000000	1.6399040	0.6013473	5.1983920	0.0179597	0.0034548	0.0345348	
L	2.1888240	0.6487392	1477010443300000.0000000	2.1597040	0.6040855	5.1967760	0.0376932	0.0072531	0.0483182	
L	2.6552560	0.6659798	1477010443400000.0000000	2.6793230	0.6091545	5.1945040	0.0645654	0.0124289	0.0620710	
L	3.0122230	0.6370455	1477010443500000.0000000	3.1986900	0.6172666	5.1914700	0.0985415	0.0189791	0.0757847	
L	3.8936500	0.3117930	1477010443600000.0000000	3.7177220	0.6291305	5.1875420	0.1395764	0.0268996	0.0894504	
L	4.3093460	0.5785637	1477010443700000.0000000	4.2363220	0.6454494	5.1825600	0.1876140	0.0361852	0.1030597	
L	4.3514310	0.8991741	1477010443800000.0000000	4.7543740	0.6669207	5.1763400	0.2425866	0.0468302	0.1166039	
L	5.5189350	0.6482327	1477010443900000.0000000	5.2717460	0.6942343	5.1686710	0.3044132	0.0588279	0.1300744	
L	6.0220030	0.7086193	1477010444000000.0000000	5.7882790	0.7280715	5.1593190	0.3729989	0.0721706	0.1434628	
L	6.3424860	0.9488326	1477010444100000.0000000	6.3037940	0.7691030	5.1480290	0.4482333	0.0868499	0.1567606	
L	6.7821430	0.7140359	1477010444200000.0000000	6.8180810	0.8179882	5.1345230	0.5299897	0.1028566	0.1699593	
L	7.1373500	0.9572165	1477010444300000.0000000	7.3309030	0.8753725	5.1185050	0.6181232	0.1201805	0.1830507	
L	7.8053340	0.7191261	1477010444400000.0000000	7.8419950	0.9418861	5.0996590	0.7124693	0.1388107	0.1960265	
L	8.2479590	0.8403219	1477010444500000.0000000	8.3510560	1.0181420	5.0776580	0.8128429	0.1587355	0.2088785	
L	8.7461450	1.0485760	1477010444600000.0000000	8.8577530	1.1047320	5.0521560	0.9190366	0.1799422	0.2215985	
